"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000162592",8.66662657249865,3.45628423699572,1.38464881836547,0.000370037310991998,0.0016040649875334,"ENSG00000162592"
"ENSG00000116254",55.8852268889168,2.46906028365232,0.44715519679207,2.56074933760415e-09,2.60139202590656e-08,"ENSG00000116254"
"ENSG00000179743",200.279521225721,0.914464454696137,0.33395350772414,0.00132144446737828,0.0049794768055364,"ENSG00000179743"
"ENSG00000204624",269.133682972172,5.75543362414038,0.41238394247788,4.92380067354345e-45,5.0619031650377e-43,"ENSG00000204624"
"ENSG00000171603",10398.8587051873,-0.732690455820423,0.351894208613703,0.0127360029371725,0.0350079729119112,"ENSG00000171603"
"ENSG00000142606",61.6627577677497,2.28246825539378,0.632360049197524,1.43757423809135e-05,8.37464410115745e-05,"ENSG00000142606"
"ENSG00000229393",17.4549300474004,6.76268779054699,1.24259088389339,6.59789242733724e-09,6.33289582585426e-08,"ENSG00000229393"
"ENSG00000269978",18.2583851574403,6.95569766119063,1.07584994466974,1.5800958877867e-11,2.03749563812152e-10,"ENSG00000269978"
"ENSG00000037637",1026.99915444199,0.941094898461427,0.433565162826052,0.00590390879545826,0.0182203596310128,"ENSG00000037637"
"ENSG00000184163",200.68111189776,-2.71227658960817,0.642568016819419,1.34726259814235e-06,9.36408333726216e-06,"ENSG00000184163"
"ENSG00000159423",972.956196678319,2.22743019096276,0.578138719557153,5.71264383158697e-06,3.5771350684274e-05,"ENSG00000159423"
"ENSG00000142599",3082.52258335836,-0.380527861595174,0.126927329909629,0.00204903156427871,0.00732696587588835,"ENSG00000142599"
"ENSG00000011021",1575.78238967709,-0.561450546600314,0.258105548359984,0.0154838951152776,0.0410537932755272,"ENSG00000011021"
"ENSG00000157916",3874.12747407147,-1.43057777475603,0.163004273307249,7.15106161165647e-20,1.77264837754183e-18,"ENSG00000157916"
"ENSG00000238290",7.22637359856095,-4.80109713563908,0.837853627713481,7.45919883800147e-10,8.0953611684008e-09,"ENSG00000238290"
"ENSG00000158748",76.6310873229814,3.7026614041653,0.396613901253111,6.29183358144215e-22,1.78351796299634e-20,"ENSG00000158748"
"ENSG00000130762",86.6075130755407,2.28827775590986,0.386471991827232,2.44193843868579e-10,2.79255428536795e-09,"ENSG00000130762"
"ENSG00000162444",2.09351637730926,2.98347724519589,1.64758199573821,0.00234463214806242,0.00822333361989554,"ENSG00000162444"
"ENSG00000184677",1603.45472740674,0.520262761520664,0.172439681958865,0.00155906071924606,0.00577510411291306,"ENSG00000184677"
"ENSG00000132879",1048.97761670137,-0.817847124046391,0.402732472414672,0.0114556601904389,0.0320197535855186,"ENSG00000132879"
"ENSG00000224621",1.23230789417998,-2.38339766006542,1.49250079624719,0.00505941474401228,0.0159687279150988,"ENSG00000224621"
"ENSG00000233929",7.79697718112035,5.57211844049961,1.30259623527096,1.28240369004991e-06,8.9505873916783e-06,"ENSG00000233929"
"ENSG00000226396",19.8755634192977,1.36195877146282,0.540631848581604,0.000930211124321731,0.00364257862523011,"ENSG00000226396"
"ENSG00000169504",6318.52515908725,-1.09235939379201,0.32260270561591,8.90539463723025e-05,0.000446668407042631,"ENSG00000169504"
"ENSG00000233954",121.005788989572,0.705717578195732,0.265776607827557,0.00307079047588609,0.0103972546013563,"ENSG00000233954"
"ENSG00000175087",320.971868746408,0.601419388361832,0.206351621611023,0.00182766855251402,0.00663018516953697,"ENSG00000175087"
"ENSG00000171735",1020.55523658498,1.24667873855172,0.151034408703126,1.00503375639084e-17,2.16895099447136e-16,"ENSG00000171735"
"ENSG00000236782",9.92988244253758,0.883258938016717,0.469489942304188,0.0136777681411664,0.0370470921077033,"ENSG00000236782"
"ENSG00000116663",136.269678449381,-2.90450494289401,0.446383449667117,6.41374921729784e-12,8.61836784933142e-11,"ENSG00000116663"
"ENSG00000225643",5.74792266163404,-1.86353295744048,0.973433460428971,0.00317147748986694,0.0106911378740388,"ENSG00000225643"
"ENSG00000204138",1173.53882477051,0.636876179239798,0.303593425486755,0.015686545838435,0.0415237267878294,"ENSG00000204138"
"ENSG00000142675",47.9790648219577,2.0881087010352,0.352976964847256,2.12708374477335e-10,2.44272865089331e-09,"ENSG00000142675"
"ENSG00000158195",2882.06795587808,-0.669223405346469,0.194387164991524,0.00026068088685171,0.00117427664201703,"ENSG00000158195"
"ENSG00000090020",1036.31934753834,-0.933818289316608,0.493702025366686,0.0118344628616817,0.0329020460335257,"ENSG00000090020"
"ENSG00000157978",431.890934741777,-2.16247063071364,0.396339956699189,3.12854171050119e-09,3.13679671367853e-08,"ENSG00000157978"
"ENSG00000142784",1643.5019845226,-0.470597524817919,0.216058838839597,0.01828639918844,0.0472287204024588,"ENSG00000142784"
"ENSG00000168528",1471.79588049884,-2.21831580649726,0.648102420737096,2.81262639453352e-05,0.000156066971788358,"ENSG00000168528"
"ENSG00000117676",567.504960490964,-0.872062127266048,0.285834154917333,0.00056230603682834,0.00232954249510764,"ENSG00000117676"
"ENSG00000084628",734.061370452823,8.7820470845846,0.576594938166525,3.30336554205505e-53,4.76748702918032e-51,"ENSG00000084628"
"ENSG00000171612",553.895818688584,1.02103534156112,0.289887600565271,6.65187237267969e-05,0.000343274121979494,"ENSG00000171612"
"ENSG00000186056",59.2671891946622,-1.59883522043876,0.726923167046911,0.0018172249912609,0.0065962850075769,"ENSG00000186056"
"ENSG00000142765",217.859945728493,1.71420005650541,0.584037881604279,0.000170403313067224,0.000801378641915622,"ENSG00000142765"
"ENSG00000142627",3188.90681903232,-3.00981435957389,0.373512840025946,6.59693080199341e-17,1.34808213577291e-15,"ENSG00000142627"
"ENSG00000284668",225.592732635507,-8.86617567448511,0.597269134027599,1.09193248852905e-50,1.41899226723608e-48,"ENSG00000284668"
"ENSG00000158292",541.23903569828,1.07147535263477,0.583152917760873,0.00999233693766134,0.0286000610351427,"ENSG00000158292"
"ENSG00000142733",803.249311601373,-2.01422501443811,0.265187511783146,2.13292641029628e-15,3.91371136373374e-14,"ENSG00000142733"
"ENSG00000187952",11.2585089301766,2.51889332420461,0.811780430823292,7.87575445173559e-05,0.0003999023560329,"ENSG00000187952"
"ENSG00000142687",2874.1987473084,-1.1059073668235,0.180375846898924,9.69859302676716e-11,1.15258140962202e-09,"ENSG00000142687"
"ENSG00000130939",1871.12252153652,-0.358669793806575,0.124790576377711,0.00309779796657296,0.0104804234372313,"ENSG00000130939"
"ENSG00000175147",201.407888846861,0.984317222539005,0.395037775402007,0.00222686862189662,0.00786914292651143,"ENSG00000175147"
"ENSG00000236266",10.5945949964554,-3.38942600408198,0.74550372555589,2.98898062696567e-07,2.28369074677736e-06,"ENSG00000236266"
"ENSG00000060656",3649.2928949788,1.39093154594853,0.364737463093256,8.27183906312541e-06,5.02764228514159e-05,"ENSG00000060656"
"ENSG00000132881",115.210802831828,-0.942848966376697,0.211228015177132,1.62571874495644e-06,1.11522968475428e-05,"ENSG00000132881"
"ENSG00000116251",1962.91807834912,0.926379176096752,0.202985955983837,1.07413652430088e-06,7.57980825646171e-06,"ENSG00000116251"
"ENSG00000043514",704.159784842865,0.692286659905811,0.157757000899612,5.03204640497613e-06,3.1781401437193e-05,"ENSG00000043514"
"ENSG00000270171",9.31925876644826,5.19179745256146,1.176632357287,6.69714673045889e-07,4.89033441259171e-06,"ENSG00000270171"
"ENSG00000158008",78.5511499382762,0.9017624627657,0.367876260263889,0.00312842248351162,0.0105685476629007,"ENSG00000158008"
"ENSG00000130940",530.721484341618,2.62655704790445,0.645343530457924,2.49584273608533e-06,1.65868282254916e-05,"ENSG00000130940"
