"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000233639",135.638093406126,21.3190903545038,3.95076444876179,1.30005217267853e-13,2.04647436663014e-12,"ENSG00000233639",21.3190903545038,100506421,"PANTR1"
"ENSG00000136944",108.985428366679,20.8540096898453,4.00626683500229,2.64504980723703e-13,4.02645791903897e-12,"ENSG00000136944",20.8540096898453,4010,"LMX1B"
"ENSG00000113327",191.923245990459,19.9895838318167,4.08284476676331,9.24849520478869e-13,1.34641405214623e-11,"ENSG00000113327",19.9895838318167,2566,"GABRG2"
"ENSG00000254656",12698.401072093,15.7628382558449,1.46644290899834,7.92327511078833e-33,4.42098132993968e-31,"ENSG00000254656",15.7628382558449,388015,"RTL1"
"ENSG00000100604",38649.4849103337,15.6990227232236,1.18101034034913,4.25264139028234e-46,4.59208783794552e-44,"ENSG00000100604",15.6990227232236,1113,"CHGA"
"ENSG00000103546",8931.53991829997,15.6649516130783,1.10166313018024,1.35188591491624e-51,1.80365614577203e-49,"ENSG00000103546",15.6649516130783,6530,"SLC6A2"
"ENSG00000165462",10149.8539545725,15.166306968755,1.04153276273283,7.34541712544402e-53,1.03522101731786e-50,"ENSG00000165462",15.166306968755,401,"PHOX2A"
"ENSG00000008196",6375.17162682641,15.1563575012201,1.09647098303102,2.75361719338931e-48,3.19153801267775e-46,"ENSG00000008196",15.1563575012201,7021,"TFAP2B"
"ENSG00000168348",5187.67193698948,14.7505184977582,1.17420417877546,2.00025619491842e-40,1.6587207379905e-38,"ENSG00000168348",14.7505184977582,84684,"INSM2"
"ENSG00000185559",40551.0703643177,14.4025780644009,0.754850554521058,9.797987479037e-85,4.66866327195574e-82,"ENSG00000185559",14.4025780644009,8788,"DLK1"
"ENSG00000189056",9462.33920832798,14.3940733898847,1.52502274742473,4.56312790221695e-25,1.59279693600756e-23,"ENSG00000189056",14.3940733898847,5649,"RELN"
"ENSG00000137142",4010.52566139363,14.3817577948078,1.16229708021607,6.85957199036565e-39,5.27993568150734e-37,"ENSG00000137142",14.3817577948078,347252,"IGFBPL1"
"ENSG00000104435",9446.80150773275,14.3125249165553,1.0546320795348,1.54101037414001e-45,1.62885881765172e-43,"ENSG00000104435",14.3125249165553,11075,"STMN2"
"ENSG00000182985",3582.06131657724,14.2721968734594,1.11700509195198,5.98198653751208e-41,5.08870470215506e-39,"ENSG00000182985",14.2721968734594,23705,"CADM1"
"ENSG00000109132",3111.76577257511,14.1545069641609,1.04387324668589,2.83057117366895e-45,2.93003158835752e-43,"ENSG00000109132",14.1545069641609,8929,"PHOX2B"
"ENSG00000036565",2922.42247502452,14.0063266518808,1.09129077316613,5.98391938392597e-41,5.08870470215506e-39,"ENSG00000036565",14.0063266518808,6570,"SLC18A1"
